2019-11-09 10:01:25 164| INFO|ContextLoader.java.initWebApplicationContext:304|Root WebApplicationContext: initialization started
2019-11-09 10:01:26 712| INFO|DefaultListableBeanFactory.java.registerBeanDefinition:828|Overriding bean definition for bean 'mvcContentNegotiationManager' with a different definition: replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration; factoryMethodName=mvcContentNegotiationManager; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/web/servlet/config/annotation/DelegatingWebMvcConfiguration.class]]
2019-11-09 10:01:26 713| INFO|ConfigurationClassBeanDefinitionReader.java.isOverriddenByExistingDefinition:298|Skipping bean definition for [BeanMethod:name=mvcUriComponentsContributor,declaringClass=org.springframework.web.servlet.config.annotation.WebMvcConfigurationSupport]: a definition for bean 'mvcUriComponentsContributor' already exists. This top-level bean definition is considered as an override.
2019-11-09 10:01:26 914| INFO|AutowiredAnnotationBeanPostProcessor.java.<init>:155|JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-11-09 10:01:27 022| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'druid-stat-pointcut' of type [org.springframework.aop.support.JdkRegexpMethodPointcut] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:27 022| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0' of type [org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:27 640| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor#1' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:27 672| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'cluterShiroSessionDao' of type [com.platform.shiro.CluterShiroSessionDao] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:27 693| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'sessionManager' of type [org.apache.shiro.web.session.mgt.DefaultWebSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:27 958| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'stat-filter' of type [com.alibaba.druid.filter.stat.StatFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:28 975| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'wall-filter-config' of type [com.alibaba.druid.wall.WallConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:29 085| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'wall-filter' of type [com.alibaba.druid.wall.WallFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:31 087| INFO|DruidDataSource.java.init:785|{dataSource-1} inited
2019-11-09 10:01:31 087| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'dataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:31 635| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'sqlSessionFactory' of type [org.mybatis.spring.SqlSessionFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-09 10:01:31 646| INFO|PostProcessorRegistrationDelegate.java.postProcessAfterInitialization:325|Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
